GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,DP0010001,DP0020001,DP0020002,DP0020003,DP0080001,DP0080002,DP0080003,DP0080004,DP0080005,DP0080006,DP0080007,DP0080008,DP0080009,DP0080010,DP0080011,DP0080012,DP0080013,DP0080014,DP0080015,DP0080016,DP0080017,DP0080018,DP0080019,DP0080020,DP0080021,DP0080022,DP0080023,DP0080024,DP0120015,DP0120016,DP0120017,DP0120018,DP0120019,DP0120020,DP0160001
17031160501,Census Tract 1605.01,345248.0,0.0,+41.9592098,-087.7129732,4188,31.1,30.9,31.2,4188,3895,2060,198,74,389,11,12,255,5,15,42,49,1,0,0,0,1,1173,293,57,29,20,117,0,0,0,0,0,0,3.2
17031200402,Census Tract 2004.02,386204.0,0.0,+41.9196348,-087.7296789,4396,28.5,28.7,28.1,4396,4193,1542,203,30,26,0,0,25,1,0,0,0,2,0,2,0,0,2390,203,9,11,24,112,0,0,0,0,0,0,3.72
17031191301,Census Tract 1913.01,674996.0,0.0,+41.9201522,-087.7802655,5397,28.5,28.0,29.2,5397,5212,2045,546,49,142,15,0,116,1,0,6,4,10,1,8,1,0,2420,185,19,3,13,78,0,0,0,5,3,2,3.84
17031190601,Census Tract 1906.01,690034.0,0.0,+41.9274146,-087.7804606,4545,29.7,28.7,30.5,4545,4339,2292,165,42,97,7,0,90,0,0,0,0,0,0,0,0,0,1743,206,15,19,14,112,0,0,0,0,0,0,3.87
17031191302,Census Tract 1913.02,631185.0,0.0,+41.9202289,-087.7705334,5034,27.9,27.3,29.0,5034,4889,1879,317,49,79,0,0,71,3,2,0,3,4,0,4,0,0,2561,145,6,4,15,79,0,0,0,0,0,0,3.92
17031190701,Census Tract 1907.01,277868.0,0.0,+41.9297959,-087.7614217,2955,29.3,28.5,30.4,2955,2809,1235,74,51,48,1,1,34,2,0,8,2,3,0,3,0,0,1398,146,10,3,21,84,0,0,0,0,0,0,3.75
17031190702,Census Tract 1907.02,383493.0,0.0,+41.9261631,-087.7610395,4869,28.8,28.6,29.3,4869,4712,2142,185,58,29,0,8,12,0,2,0,7,2,0,2,0,0,2296,157,3,11,23,81,0,0,0,0,0,0,3.55
17031190401,Census Tract 1904.01,655475.0,0.0,+41.9347276,-087.7809524,4257,33.9,33.5,34.4,4257,4067,2427,88,19,236,10,7,188,0,2,14,15,7,0,2,0,5,1290,190,2,22,17,93,0,0,0,0,0,0,3.47
17031190602,Census Tract 1906.02,621354.0,0.0,+41.9275604,-087.7707371,5516,31.4,31.1,31.6,5516,5279,2828,277,95,74,0,3,49,1,0,6,15,6,0,6,0,0,1999,237,7,10,14,168,233,173,60,5,3,2,3.86
17031190402,Census Tract 1904.02,653981.0,0.0,+41.9348596,-087.7712318,5458,32.5,31.5,33.4,5458,5193,3007,165,40,167,6,13,119,7,3,9,10,12,6,6,0,0,1802,265,40,18,17,139,0,0,0,4,0,4,3.47
17031832100,Census Tract 8321,222089.0,0.0,+41.9528214,-087.6532413,3297,29.7,30.3,29.2,3297,3223,2343,597,9,145,34,13,28,7,25,2,36,4,0,2,0,2,125,74,6,20,10,8,0,0,0,0,0,0,1.75
17031151001,Census Tract 1510.01,330135.0,0.0,+41.9423826,-087.7543527,2819,33.8,32.6,35.3,2819,2717,1616,76,22,71,1,14,35,1,4,6,10,0,0,0,0,0,932,102,9,26,13,41,0,0,0,0,0,0,3.1
17031151002,Census Tract 1510.02,637151.0,0.0,+41.9424917,-087.7471554,4567,33.0,31.9,34.0,4567,4427,2718,106,75,169,4,5,133,0,9,6,12,7,5,2,0,0,1352,140,1,15,12,92,0,0,0,0,0,0,2.95
17031160602,Census Tract 1606.02,518376.0,0.0,+41.9560930,-087.7006348,3589,33.0,32.8,33.5,3589,3416,2300,179,31,276,29,7,181,11,19,5,24,2,0,1,1,0,628,173,11,41,15,49,0,0,0,0,0,0,2.44
17031160502,Census Tract 1605.02,310887.0,0.0,+41.9555841,-087.7130876,3550,31.2,30.8,31.6,3550,3326,1879,162,43,270,23,14,189,5,8,3,28,5,0,1,0,4,967,224,37,18,16,98,0,0,0,0,0,0,2.86
17031140601,Census Tract 1406.01,272123.0,0.0,+41.9646471,-087.7258909,2786,32.7,31.8,33.5,2786,2694,1353,65,14,440,79,12,168,1,75,65,40,10,0,0,0,10,812,92,6,9,6,28,0,0,0,0,0,0,3.34
17031140701,Census Tract 1407.01,228327.0,0.0,+41.9670375,-087.7126525,2933,30.5,30.4,30.5,2933,2770,1421,137,63,410,44,7,197,1,20,41,100,0,0,0,0,0,739,163,14,30,15,78,0,0,0,0,0,0,3.07
17031140602,Census Tract 1406.02,384380.0,0.0,+41.9646520,-087.7210166,5397,29.1,28.0,29.8,5397,5096,2405,434,43,555,94,10,266,6,29,48,102,2,0,2,0,0,1657,301,9,43,61,125,0,0,0,0,0,0,3.4
17031140702,Census Tract 1407.02,427095.0,0.0,+41.9635482,-087.7135753,6187,29.9,29.9,30.1,6187,5900,2872,264,54,488,59,30,249,6,18,66,60,6,1,2,0,3,2216,287,22,34,36,146,13,0,13,0,0,0,3.19
17031140301,Census Tract 1403.01,164128.0,0.0,+41.9692055,-087.7231695,2891,30.5,30.5,30.5,2891,2570,981,119,14,736,395,16,160,3,23,61,78,0,0,0,0,0,720,321,6,51,12,190,0,0,0,0,0,0,3.62
17031843200,Census Tract 8432,2887377.0,274685.0,+41.8486664,-087.6630210,2780,28.7,28.1,29.4,2780,2645,1387,82,13,54,19,19,6,0,4,1,5,0,0,0,0,0,1109,135,3,8,4,87,0,0,0,24,15,9,3.27
17031140302,Census Tract 1403.02,421895.0,0.0,+41.9725485,-087.7237891,4345,34.4,33.5,35.5,4345,4027,1988,240,32,1005,242,31,368,22,111,110,121,4,4,0,0,0,758,318,13,89,21,138,347,124,223,7,6,1,3.05
17031150402,Census Tract 1504.02,662508.0,0.0,+41.9567979,-087.7720436,3886,37.7,35.9,39.2,3886,3731,2988,40,6,202,11,14,139,7,5,15,11,5,0,0,0,5,490,155,10,39,10,77,0,0,0,2,1,1,2.88
17031110501,Census Tract 1105.01,791608.0,0.0,+41.9770023,-087.7619249,4639,39.7,38.3,40.6,4639,4495,3422,67,34,562,32,34,176,21,20,209,70,2,0,0,0,2,408,144,29,40,9,42,0,0,0,8,5,3,2.68
17031110502,Census Tract 1105.02,649190.0,0.0,+41.9702866,-087.7598504,3214,38.0,37.6,38.3,3214,3097,2450,50,24,327,35,39,126,15,20,60,32,11,0,0,5,6,235,117,5,32,10,42,0,0,0,0,0,0,2.23
17031760802,Census Tract 7608.02,6189587.0,24085.0,+41.9561258,-087.8426260,2276,52.4,50.0,54.6,2276,2259,2158,6,0,53,13,0,19,4,2,3,12,0,0,0,0,0,42,17,3,4,2,3,0,0,0,0,0,0,1.99
17031150502,Census Tract 1505.02,684583.0,0.0,+41.9567784,-087.7818414,4205,38.5,36.6,40.0,4205,4077,3237,100,10,273,17,12,201,5,15,8,15,1,0,0,1,0,456,128,9,25,12,57,89,0,89,8,2,6,2.76
17031150401,Census Tract 1504.01,738023.0,0.0,+41.9645676,-087.7722648,4793,39.1,37.3,41.0,4793,4640,3818,31,15,247,8,22,115,5,9,31,57,3,3,0,0,0,526,153,17,44,15,49,0,0,0,0,0,0,2.63
17031150501,Census Tract 1505.01,698786.0,0.0,+41.9644762,-087.7819638,3648,40.2,38.3,41.8,3648,3537,2973,20,7,216,32,10,138,1,8,12,15,1,1,0,0,0,320,111,17,25,17,31,0,0,0,6,0,6,2.75
