shapeid,x,y
3,-87.85055,41.975803
,,
3,-87.850703,41.975989
,,
3,-87.850822,41.976149
,,
3,-87.850941,41.976265
,,
3,-87.851479,41.976585
,,
3,-87.851504,41.976789
,,
3,-87.851509,41.976831
,,
3,-87.851535,41.977017
,,
3,-87.85152,41.977137
,,
3,-87.851485,41.97726
,,
3,-87.851499,41.977363
,,
3,-87.85156,41.977478
,,
3,-87.851643,41.977583
,,
3,-87.851777,41.977792
,,
3,-87.851844,41.977921
,,
3,-87.851896,41.978053
,,
3,-87.851938,41.978198
,,
3,-87.851957,41.97828
,,
3,-87.851983,41.978524
,,
3,-87.851982,41.978626
,,
3,-87.851957,41.978854
,,
3,-87.851906,41.979095
,,
3,-87.85185,41.979304
,,
3,-87.851804,41.979416
,,
3,-87.851746,41.979536
,,
3,-87.851708,41.979601
,,
3,-87.851619,41.97972
,,
3,-87.851553,41.979793
,,
3,-87.851475,41.97987
,,
3,-87.851369,41.979953
,,
3,-87.851242,41.980036
,,
3,-87.851106,41.980107
,,
3,-87.850971,41.980168
,,
3,-87.850827,41.980223
,,
3,-87.850683,41.980263
,,
3,-87.850516,41.980301
,,
3,-87.850402,41.980321
,,
3,-87.850304,41.98033
,,
3,-87.85018,41.980336
,,
3,-87.850039,41.980332
,,
3,-87.84989,41.980315
,,
3,-87.849714,41.98029
,,
3,-87.849481,41.980238
,,
3,-87.84906,41.980075
,,
3,-87.848873,41.980015
,,
3,-87.848746,41.979981
,,
3,-87.848442,41.979921
,,
3,-87.848244,41.979895
,,
3,-87.848081,41.97988
,,
3,-87.847813,41.979872
,,
3,-87.847675,41.97988
,,
3,-87.847528,41.979894
,,
3,-87.847392,41.979916
,,
3,-87.847227,41.979954
,,
3,-87.847113,41.979986
,,
3,-87.84702,41.980025
,,
3,-87.846941,41.980049
,,
3,-87.846837,41.980072
,,
3,-87.846747,41.980085
,,
3,-87.846656,41.980091
,,
3,-87.846427,41.980078
,,
3,-87.846424,41.980008
,,
3,-87.846421,41.979937
,,
3,-87.846424,41.979832
,,
3,-87.846439,41.979304
,,
3,-87.846445,41.979129
,,
3,-87.846448,41.978936
,,
3,-87.846458,41.978358
,,
3,-87.846462,41.978166
,,
3,-87.846464,41.978002
,,
3,-87.846473,41.977514
,,
3,-87.846477,41.977351
,,
3,-87.846041,41.977353
,,
3,-87.845953,41.977354
,,
3,-87.844916,41.977373
,,
